Rank,Player,Team,Position,Bye_Week,Image
1,Jayden Daniels,WAS,QB,,https://commons.wikimedia.org/wiki/File:092323_LSU_vs_Arkansas_T761_Jayden_Daniels_-5_Quarterback_(53534767293).jpg
2,Josh Allen,BUF,QB,,https://commons.wikimedia.org/wiki/File:Josh_Allen_SEPT2021_(cropped2).jpg
3,Bijan Robinson,ATL,RB,,https://commons.wikimedia.org/wiki/File:Bijan_Robinson.jpg
4,Ja'Marr Chase,CIN,WR,,https://commons.wikimedia.org/wiki/File:Ja%27Marr_Chase.jpg
5,Malik Nabers,NYG,WR,,https://commons.wikimedia.org/wiki/File:Malik_Nabers.jpg
6,De'Von Achane,MIA,RB,,https://commons.wikimedia.org/wiki/File:De%27Von_Achane.jpg
7,CeeDee Lamb,DAL,WR,,https://commons.wikimedia.org/wiki/File:CeeDee_Lamb.jpg
8,Saquon Barkley,PHI,RB,,https://commons.wikimedia.org/wiki/File:Saquon_Barkley.jpg
9,Derrick Henry,BAL,RB,,https://commons.wikimedia.org/wiki/File:Derrick_Henry.jpg
10,Ashton Jeanty,LV,RB,,https://commons.wikimedia.org/wiki/File:Ashton_Jeanty.jpg
11,Justin Jefferson,MIN,WR,,https://commons.wikimedia.org/wiki/File:Justin_Jefferson.jpg
12,Trey McBride,ARI,TE,,https://commons.wikimedia.org/wiki/File:Trey_McBride.jpg
13,Brock Bowers,LV,TE,,https://commons.wikimedia.org/wiki/File:Brock_Bowers.jpg
14,Jalen Hurts,PHI,QB,,https://commons.wikimedia.org/wiki/File:Jalen_Hurts.jpg
15,Amon-Ra St. Brown,DET,WR,,https://commons.wikimedia.org/wiki/File:Amon-Ra_St._Brown.jpg
16,Garrett Wilson,NYJ,WR,,https://commons.wikimedia.org/wiki/File:Garrett_Wilson.jpg
17,Brian Thomas,JAC,WR,,https://commons.wikimedia.org/wiki/File:Brian_Thomas.jpg
18,Joe Burrow,CIN,QB,,https://commons.wikimedia.org/wiki/File:Joe_Burrow.jpg
19,Jahmyr Gibbs,DET,RB,,https://commons.wikimedia.org/wiki/File:Jahmyr_Gibbs.jpg
20,Chase Brown,CIN,RB,,https://commons.wikimedia.org/wiki/File:Chase_Brown.jpg
21,Josh Jacobs,GB,RB,,https://commons.wikimedia.org/wiki/File:Josh_Jacobs.jpg
22,Caleb Williams,CHI,QB,,https://commons.wikimedia.org/wiki/File:Caleb_Williams.jpg
23,Drake London,ATL,WR,,https://commons.wikimedia.org/wiki/File:Drake_London.jpg
24,Ladd McConkey,LAC,WR,,https://commons.wikimedia.org/wiki/File:Ladd_McConkey.jpg
25,Justin Herbert,LAC,QB,,https://commons.wikimedia.org/wiki/File:Justin_Herbert.jpg
26,Dak Prescott,DAL,QB,,https://commons.wikimedia.org/wiki/File:Dak_Prescott.jpg
27,A.J. Brown,PHI,WR,,https://commons.wikimedia.org/wiki/File:A.J._Brown.jpg
28,Nico Collins,HOU,WR,,https://commons.wikimedia.org/wiki/File:Nico_Collins.jpg
29,James Cook,BUF,RB,,https://commons.wikimedia.org/wiki/File:James_Cook.jpg
30,Alvin Kamara,NO,RB,,https://commons.wikimedia.org/wiki/File:Alvin_Kamara.jpg
31,Bo Nix,DEN,QB,,https://commons.wikimedia.org/wiki/File:Bo_Nix.jpg
32,Baker Mayfield,TB,QB,,https://commons.wikimedia.org/wiki/File:Baker_Mayfield.jpg
33,Davante Adams,LAR,WR,,https://commons.wikimedia.org/wiki/File:Davante_Adams.jpg
34,George Pickens,DAL,WR,,https://commons.wikimedia.org/wiki/File:George_Pickens.jpg
35,Jonathan Taylor,IND,RB,,https://commons.wikimedia.org/wiki/File:Jonathan_Taylor.jpg
36,Tee Higgins,CIN,WR,,https://commons.wikimedia.org/wiki/File:Tee_Higgins.jpg
37,Patrick Mahomes,KC,QB,,https://commons.wikimedia.org/wiki/File:Patrick_Mahomes.jpg
38,Puka Nacua,LAR,WR,,https://commons.wikimedia.org/wiki/File:Puka_Nacua.jpg
39,Brock Purdy,SF,QB,,https://commons.wikimedia.org/wiki/File:Brock_Purdy.jpg
